Year,Registration,VAP Turnout,Voting age population,Compulsory Voting,Election Type,Voter Turnout
1974,7898922.0,0.8431000000000001,8937800.0,1,Parliamentary,0.9540000000000001
1972,7074070.0,0.8534999999999999,7905600.0,1,Parliamentary,0.9538
1969,6606213.0,0.8389,7478600.0,1,Parliamentary,0.9497
1966,6193881.0,0.8466,6960000.0,1,Parliamentary,0.9512999999999999
1963,5860935.0,0.8565,6549600.0,1,Parliamentary,0.9571
1961,5692364.0,0.8456,6409880.0,1,Parliamentary,0.9521999999999999
1958,5412865.0,0.8604999999999999,6003620.0,1,Parliamentary,0.9544
1955,4779974.0,0.7835,5796000.0,1,Parliamentary,0.95
1954,4829546.0,0.8193,5661810.0,1,Parliamentary,0.9605
1951,4867713.0,0.8523999999999999,5480150.0,1,Parliamentary,0.9597
1949,4913654.0,0.9167000000000001,5142800.0,1,Parliamentary,0.9594
1946,4744017.0,0.9185,4852250.0,1,Parliamentary,0.9395
2024,6346059.0,0.6576000000000001,7454528.0,0,Parliamentary,0.7625
2019,6396812.0,0.644,7508169.0,0,Parliamentary,0.7559
2017,6400993.0,0.6879000000000001,7443978.0,0,Parliamentary,0.8
2013,6384331.0,0.6587000000000001,7260801.0,0,Parliamentary,0.7491
2008,6333109.0,0.7561,6600595.0,0,Parliamentary,0.7881
2006,6107892.0,0.7321,6548332.0,0,Parliamentary,0.7848999999999999
2002,5912592.0,0.7745000000000001,6432768.0,0,Parliamentary,0.8427
1999,5838373.0,0.7264,6463384.0,0,Parliamentary,0.8042
1995,5768009.0,0.7864,6306300.0,0,Parliamentary,0.8598
1994,5774000.0,0.7602,6263129.0,0,Parliamentary,0.8245999999999999
1990,5628912.0,0.8047,6025250.0,0,Parliamentary,0.8614
1986,5461414.0,0.8706999999999999,5673750.0,0,Parliamentary,0.9046
1983,5316436.0,0.8691,5664000.0,0,Parliamentary,0.9259000000000001
1979,5186735.0,0.8681,5510770.0,0,Parliamentary,0.9224
1975,5019277.0,0.8665,5381090.0,0,Parliamentary,0.929
1971,4984448.0,0.8823000000000001,5222000.0,0,Parliamentary,0.9244
1970,5045841.0,0.8952,5173000.0,0,Parliamentary,0.9178000000000001
1966,4886818.0,0.8983,5103000.0,0,Parliamentary,0.938
1962,4805351.0,0.9028,4991000.0,0,Parliamentary,0.9377
1959,4696603.0,0.8967,4934300.0,0,Parliamentary,0.9420999999999999
1956,4614464.0,0.8931,4957930.0,0,Parliamentary,0.9595
1953,4586870.0,0.8903,4937340.0,0,Parliamentary,0.9582999999999999
1949,4391815.0,0.8623999999999999,4928820.0,0,Parliamentary,0.9678
1945,3449605.0,0.6739,4827290.0,0,Parliamentary,0.9431
2022,6363489.0,0.5474,7578269.0,0,Presidential,0.6518999999999999
2016,6399607.0,0.6413,7406128.0,0,Presidential,0.7421
2016,6382507.0,0.6261,7406128.0,0,Presidential,0.7265
2016,6382507.0,0.5903,7406128.0,0,Presidential,0.685
2010,6355800.0,0.47840000000000005,7117194.0,0,Presidential,0.5357
2004,6030982.0,0.665,6493724.0,0,Presidential,0.716
1998,5848584.0,0.6859000000000001,6344138.0,0,Presidential,0.7440000000000001
1992,5676903.0,0.7565999999999999,6070680.0,0,Presidential,0.8090999999999999
1992,5676903.0,0.528,6070680.0,0,Presidential,0.8436
1986,5436846.0,0.8365,5673750.0,0,Presidential,0.8729
1986,5436846.0,0.8573999999999999,5673750.0,0,Presidential,0.8948
1980,5215875.0,0.8672,5510770.0,1,Presidential,0.9163
1974,5031772.0,0.8853,5346300.0,1,Presidential,0.9406
1971,5024324.0,0.9168000000000001,5222000.0,1,Presidential,0.9529000000000001
1965,4874928.0,0.9220999999999999,5075000.0,1,Presidential,0.9599
